"""","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"県民所得","-","-0.7","1.2","0.6","3.6","0.2","-1.5","-7.2","-5.3","9.0","1.8","0.7","1.8"
"和歌山市","-","-1.8","3.7","0.8","8.0","-1.1","1.2","-10.9","-6.0","10.4","-0.5","2.5","1.3"
"海南市","-","-2.9","0.7","-2.4","3.7","4.7","15.5","-12.8","-13.8","9.3","2.7","14.4","-7.2"
"橋本市","-","2.0","-2.8","-1.4","2.6","1.1","-3.4","-8.7","1.6","6.6","0.7","-1.0","1.0"
"有田市","-","-8.8","28.1","11.8","-30.1","16.0","-7.1","54.2","-41.7","7.2","61.2","-36.3","35.2"
"御坊市","-","-1.2","-2.5","2.9","9.8","-4.6","-3.7","-18.6","5.7","10.4","8.4","-9.4","-0.1"
"田辺市","-","1.0","-1.7","-1.2","1.8","1.0","-9.2","-9.3","1.3","13.8","-0.6","0.7","3.3"
"新宮市","-","-0.8","-0.3","-3.1","5.2","0.6","-7.3","-11.3","0.6","12.6","0.5","0.7","4.4"
"紀の川市","-","1.5","-2.8","1.1","3.4","-0.6","-3.8","-6.2","-3.2","7.1","0.2","2.0","0.1"
"岩出市","-","0.0","-1.5","0.8","3.9","-3.8","-0.3","-2.6","3.4","4.6","1.1","-1.0","1.9"
"海草郡_紀美野町","-","-4.0","-3.5","0.2","-0.7","0.1","-7.5","-2.4","-4.1","1.1","-1.2","1.4","1.4"
"伊都郡_かつらぎ町","-","-2.9","-3.8","0.2","-0.4","1.5","-7.6","-1.5","-3.7","11.7","-2.2","1.2","1.2"
"伊都郡_九度山町","-","-2.5","-4.3","-2.9","1.3","2.4","-10.7","-3.9","-1.5","9.1","-7.4","1.0","1.0"
"伊都郡_高野町","-","3.0","-2.1","-2.9","1.8","-0.7","-7.9","-5.8","6.0","-3.3","-4.4","-0.7","3.1"
"有田郡_湯浅町","-","-3.9","-1.5","-0.3","0.6","0.4","-8.4","-6.2","-1.0","8.3","1.7","4.4","-0.8"
"有田郡_広川町","-","-1.0","-1.6","2.8","1.1","0.5","-10.2","-4.0","-6.4","3.8","0.3","5.5","8.1"
"有田郡_有田川町","-","3.3","-3.2","3.6","3.3","-0.7","-1.4","-3.5","-2.7","5.8","0.9","1.8","2.4"
"日高郡_美浜町","-","-8.8","-0.6","1.4","4.2","5.4","-14.7","1.6","2.8","0.4","0.6","4.3","2.5"
"日高郡_日高町","-","0.4","-1.3","0.6","4.6","-1.2","-5.5","0.6","-1.9","6.8","-0.1","2.4","0.3"
"日高郡_由良町","-","-2.4","10.4","-12.9","2.7","10.1","-8.8","-0.3","13.8","-15.3","6.9","20.3","-28.6"
"日高郡印南町","-","-4.5","0.9","-0.5","1.1","4.0","-5.7","-7.4","0.3","4.4","6.2","1.2","0.5"
"日高郡みなべ町","-","-3.6","-4.6","-4.1","-3.4","12.3","-14.3","-5.1","-0.7","12.5","-3.8","3.4","4.1"
"日高郡日高川町","-","125.6","-10.8","14.5","6.7","-1.9","-4.2","-0.7","-8.6","10.2","-2.6","5.0","8.0"
"西牟婁郡_白浜町","-","-2.6","-2.2","1.0","-5.5","2.2","-8.8","-5.1","3.6","11.6","-6.5","2.1","3.3"
"西牟婁郡_上富田町","-","5.0","-2.5","8.2","-0.9","-5.0","-0.9","-6.6","-1.4","13.2","8.8","0.0","-0.8"
"西牟婁郡_すさみ町","-","2.7","-6.1","-3.5","1.9","-1.5","-6.9","-4.4","-0.6","3.5","2.3","-0.5","12.1"
"東牟婁郡_那智勝浦町","-","-0.8","-3.1","-3.9","-3.6","-1.3","-4.8","-5.1","0.6","2.2","-2.9","1.5","2.7"
"東牟婁郡_太地町","-","-3.7","-6.0","-1.1","-1.4","0.1","-4.0","7.1","-5.7","4.7","-4.8","-1.8","0.6"
"東牟婁郡_古座川町","-","30.3","-8.5","6.0","1.0","1.4","-12.6","-1.9","-0.1","0.7","0.1","-1.7","-1.1"
"東牟婁郡_北山村","-","-3.5","-8.3","4.7","8.2","4.4","-25.7","-5.7","-7.7","6.4","-4.3","5.9","3.5"
"東牟婁郡_串本町","-","-1.4","-1.3","-3.8","3.7","-1.4","-9.2","-0.4","-4.0","4.4","-2.2","1.4","0.3"
"海草地区","-","-2.0","3.2","0.4","7.4","-0.5","2.7","-11.0","-6.9","10.1","-0.1","3.9","0.2"
"那賀地区","-","0.9","-2.3","1.0","3.6","-2.0","-2.4","-4.7","-0.3","6.0","0.6","0.7","0.9"
"伊都地区","-","0.9","-3.0","-1.2","1.9","1.2","-4.8","-7.0","0.6","7.1","-0.5","-0.5","1.1"
"有田地区","-","-3.4","9.6","6.7","-13.4","6.1","-5.7","20.3","-23.7","6.6","26.0","-17.8","15.9"
"日高地区","-","4.1","-2.1","0.8","4.8","1.5","-7.4","-8.1","2.0","6.0","3.2","0.2","-1.1"
"西牟婁地区","-","0.8","-2.0","0.3","0.0","0.4","-8.1","-8.0","1.4","12.9","-0.5","0.8","3.0"
"東牟婁地区","-","-0.2","-1.8","-3.0","2.5","-0.2","-7.4","-6.4","-0.9","7.6","-1.1","0.9","2.8"
